No Satelit    Epoch                 B*               True Anomaly       Ketinggian
40931         2023.00012653825      0.00004938       273.63959692       638.39273019
40931         2023.00105155984      0.00005466       268.67821606       639.13329129
40931         2023.00327163441      0.00005249       256.74884271       640.91222763
40931         2023.00364163592      0.00005438       254.63355896       641.22320284
40931         2023.00733848852      0.00005433       229.34680403       644.52437248
40931         2023.00789676786      0.00008917       231.47610379       644.23458919
40931         2023.00956179915      0.00009420       222.94804274       645.13859497
40931         2023.00733848852      0.00005433       229.34680403       644.52437248
40931         2023.00789676786      0.00008917       231.47610379       644.23458919
40931         2023.00956179915      0.00009420       222.94804274       645.13859497
40931         2023.01067182419      0.00009603       217.23655163       645.67960216
40931         2023.01085682874      0.00009621       216.47017230       645.73634531
40931         2023.01215185860      0.00009450       209.70968082       646.27840636
40931         2023.01770198504      0.00008418       180.80085398       647.43430840
40931         2023.01899701526      0.00007229       173.09639129       647.65680700
40931         2023.01067182419      0.00009603       217.23655163       645.67960216
40931         2023.01085682874      0.00009621       216.47017230       645.73634531
40931         2023.01215185860      0.00009450       209.70968082       646.27840636
40931         2023.01770198504      0.00008418       180.80085398       647.43430840
40931         2023.01899701526      0.00007229       173.09639129       647.65680705
40931         2023.02510215164      0.00006433       142.10184170       645.84673655
40931         2023.02547215504      0.00007181       139.74079095       645.66976260
40931         2023.02787720649      0.00008626       127.18775609       644.40678627
40931         2023.02898719526      0.00008356       119.54178620       643.53284289
40931         2023.02935718707      0.00008147       117.90990333       643.31089267
40931         2023.02510215164      0.00006433       142.10184170       645.84673655
40931         2023.02547215504      0.00007181       139.74079095       645.66976260
40931         2023.02787720649      0.00008626       127.18775609       644.40678627
40931         2023.02898719526      0.00008356       119.54178620       643.53284289
40931         2023.02935718707      0.00008147       117.90990333       643.31089267
40931         2023.02510215164      0.00006433       142.10184170       645.84673655
40931         2023.02547215504      0.00007181       139.74079095       645.66976260
40931         2023.03046720693      0.00008013       112.81205854       642.58808342
40931         2023.03194722674      0.00008407       105.13914111       641.38385930
40931         2023.03231721844      0.00005492       106.87548252       641.79799958
40931         2023.03324216134      0.00009763        99.92484424       640.54307812
